Date,Price,Open,High,Low,Vol.,Change %
11/19/2024,1436.246371,959.56,"1,481.96",900.17,692.34K,1.15%
11/20/2024,1404.131033,970.11,"1,476.97",873.78,1.05M,0.27%
11/21/2024,1464.055774,955.52,"1,477.04",942.9,724.46K,-2.16%
11/22/2024,1457.065048,969.48,"1,482.87",939.73,960.58K,0.22%
11/25/2024,1464.89539,975.32,"1,481.53",956.77,597.72K,0.62%
11/26/2024,1435.957329,984.71,"1,466.46",948.52,1.05M,0.30%
11/27/2024,1425.364307,991.87,"1,463.63",942.02,542.12K,-2.27%
11/28/2024,1443.98335,996.55,"1,491.05",934.31,543.14K,0.65%
11/29/2024,1464.681948,"1,000.39","1,505.36",947.71,622.50K,-0.69%
12/2/2024,1487.218518,999.24,"1,511.68",971.46,973.79K,0.68%
